0,0,0
0,1,5
0,2,3
0,3,9
0,4,4
0,5,6
0,6,2
0,7,10
0,8,9
0,9,4
0,10,1
0,11,8
0,12,0
1,1,2
1,2,8
1,3,0
1,4,5
1,5,9
1,6,2
1,7,3
1,8,7
1,9,10
1,10,1
1,11,8
1,12,0
2,2,2
2,3,6
2,4,9
2,5,2
2,6,3
2,7,7
2,8,10
2,9,1
2,10,8
2,11,0
2,12,2
3,3,6
3,4,0
3,5,1
3,6,0
3,7,9
3,8,8
3,9,0
3,10,8
3,11,0
3,12,9
4,4,8
4,5,9
4,6,10
4,7,5
4,8,0
4,9,3
4,10,9
4,11,2
4,12,0
5,5,0
5,6,3
5,7,9
5,8,2
5,9,0
5,10,5
5,11,9
5,12,2
6,6,3
6,7,7
6,8,8
6,9,9
6,10,10
6,11,5
6,12,0
7,7,3
7,8,9
7,9,2
7,10,0
7,11,2
7,12,3
8,8,7
8,9,10
8,10,4
8,11,1
8,12,9
9,9,3
9,10,0
9,11,9
9,12,4
10,10,0
10,11,10
10,12,3
11,11,0
11,12,10
12,12,0
