0,0,3
0,1,7
0,2,10
0,3,1
0,4,4
0,5,9
0,6,2
0,7,6
1,0,0
1,1,8
1,2,5
1,3,7
1,4,2
1,5,6
1,6,3
1,7,9
2,0,4
2,1,6
2,2,7
2,3,3
2,4,1
2,5,5
2,6,9
2,7,4
3,0,8
3,1,0
3,2,2
3,3,10
3,4,7
3,5,8
3,6,0
3,7,2
4,0,10
4,1,7
4,2,6
4,3,9
4,4,3
4,5,7
4,6,10
4,7,1
5,0,4
5,1,9
5,2,2
5,3,6
5,4,0
5,5,8
5,6,5
5,7,7
6,0,0
6,1,3
6,2,9
6,3,1
6,4,10
6,5,8
6,6,2
6,7,7
7,0,4
7,1,4
7,2,6
7,3,7
7,4,3
7,5,1
7,6,5
7,7,9
8,0,4
8,1,8
8,2,0
8,3,2
8,4,10
8,5,7
8,6,3
8,7,8
9,0,5
9,1,4
9,2,6
9,3,7
9,4,3
9,5,1
9,6,5
9,7,9
10,0,4
10,1,8
10,2,0
10,3,2
10,4,10
10,5,7
10,6,8
10,7,5
11,0,7
11,1,0
11,2,3
11,3,9
11,4,1
11,5,10
11,6,3
11,7,10
12,0,5
12,1,2
12,2,1
12,3,4
12,4,7
12,5,6
12,6,9
12,7,0
