0,0,0
0,1,10
0,2,10
0,3,9
0,4,9
0,5,5
0,6,7
0,7,6
0,8,4
0,9,5
0,10,7
0,11,2
0,12,4
1,1,0
1,2,9
1,3,8
1,4,8
1,5,7
1,6,5
1,7,4
1,8,3
1,9,2
1,10,1
1,11,0
1,12,7
2,2,0
2,3,8
2,4,7
2,5,3
2,6,5
2,7,4
2,8,1
2,9,10
2,10,3
2,11,6
2,12,6
3,3,0
3,4,8
3,5,5
3,6,6
3,7,3
3,8,10
3,9,4
3,10,7
3,11,5
3,12,3
4,4,0
4,5,5
4,6,10
4,7,8
4,8,6
4,9,5
4,10,3
4,11,9
4,12,5
5,5,0
5,6,3
5,7,9
5,8,5
5,9,8
5,10,3
5,11,10
5,12,7
6,6,0
6,7,4
6,8,10
6,9,5
6,10,6
6,11,6
6,12,7
7,7,0
7,8,5
7,9,9
7,10,7
7,11,2
7,12,5
8,8,0
8,9,7
8,10,1
8,11,9
8,12,4
9,9,0
9,10,5
9,11,6
9,12,10
10,10,0
10,11,9
10,12,4
11,11,0
11,12,5
12,12,0
