0,0,0
0,1,10
0,2,3
0,3,5
0,4,6
0,5,0
0,6,8
0,7,0
0,8,7
0,9,0
0,10,10
0,11,3
0,12,6
1,1,0
1,2,10
1,3,1
1,4,8
1,5,0
1,6,8
1,7,0
1,8,5
1,9,9
1,10,9
1,11,2
1,12,3
2,2,0
2,3,0
2,4,10
2,5,3
2,6,6
2,7,0
2,8,9
2,9,8
2,10,3
2,11,9
2,12,4
3,3,0
3,4,2
3,5,10
3,6,1
3,7,8
3,8,0
3,9,2
3,10,2
3,11,10
3,12,2
4,4,0
4,5,10
4,6,8
4,7,0
4,8,8
4,9,0
4,10,5
4,11,9
4,12,5
5,5,0
5,6,3
5,7,9
5,8,2
5,9,8
5,10,3
5,11,9
5,12,4
6,6,0
6,7,2
6,8,10
6,9,1
6,10,8
6,11,2
6,12,10
7,7,0
7,8,8
7,9,0
7,10,8
7,11,0
7,12,5
8,8,0
8,9,8
8,10,0
8,11,8
8,12,0
9,9,0
9,10,9
9,11,3
9,12,9
10,10,0
10,11,0
10,12,6
11,11,0
11,12,1
12,12,0
