0,0:30,4,1
1,1:00,0,1
2,1:00,7,2
3,1:00,2,1
4,1:00,7,2
5,1:00,3,1
6,0:30,5,2
7,1:00,0,3
8,1:30,7,1
9,0:30,7,2
10,1:30,5,1
11,1:30,6,2
12,1:30,4,1
13,1:00,5,1
14,1:00,4,2
15,2:00,2,1
16,0:30,0,2
17,0:30,7,2
18,1:00,0,1
19,0:30,0,1
20,0:30,4,1
21,1:00,6,1
22,1:30,6,1
23,1:30,7,1
24,2:00,2,1
25,1:30,3,2
26,0:30,7,1
27,2:00,5,2
28,1:00,4,2
29,0:30,7,2
30,0:30,3,2
31,1:00,2,1
32,1:00,0,1
33,1:00,0,2
34,1:30,5,1
35,0:30,5,2
36,1:00,7,1
37,1:00,0,1
38,2:00,7,1
39,2:00,2,1
40,1:00,7,2
41,2:30,0,1
42,1:00,2,1
43,1:00,5,1
44,1:30,2,2
45,2:00,6,1
46,1:00,4,1
47,1:00,7,1
48,1:00,5,1
49,1:00,0,2
50,0:30,4,2
51,1:00,0,1
52,0:30,3,2
53,0:30,3,1
54,0:30,6,1
55,1:00,3,1
56,1:30,7,1
57,1:30,6,1
58,1:00,2,2
59,1:00,4,2
60,1:00,0,3
61,0:30,4,1
62,1:00,7,3
63,1:30,4,1
64,1:30,6,1
65,1:00,2,2
66,1:30,3,1
67,1:00,7,2
68,1:00,2,1
69,1:30,5,1
70,1:30,4,1
71,0:30,7,1
72,1:30,2,1
73,1:00,7,1
74,2:30,1,2
75,1:30,4,1
76,1:00,6,2
77,1:00,0,1
78,1:30,7,2
79,1:00,7,2
80,1:30,2,1
81,1:00,0,2
82,1:30,4,2
83,0:30,2,1
84,1:00,5,1
85,1:30,7,1
86,1:00,3,2
87,0:30,7,1
88,1:30,0,1
89,1:30,2,1
90,1:30,2,1
91,1:30,3,2
92,1:30,5,1
93,1:30,7,3
94,1:30,2,1
95,1:30,2,3
96,1:00,3,1
97,1:00,5,2
98,0:30,4,1
99,0:30,0,1
